respondent_id,persona,age_group,gender,city_tier,occupation,monthly_income_band,fashion_identity,style_primary,style_secondary,purchase_influence,sustainability_score,shop_frequency,monthly_fashion_spend,max_outfit_spend,mystery_box_wtp,discount_sensitivity,clothing_oversized_tees,clothing_baggy_jeans,clothing_coords_sets,clothing_dresses_skirts,clothing_jackets_blazers,clothing_kurtis_ethnic,clothing_cargo_joggers,clothing_crop_tops,colour_neutrals,colour_earthy_tones,colour_pastels,colour_bold_neon,colour_vintage_washed,colour_prints_patterns,colour_monochrome,accessory_bags_totes,accessory_jewellery,accessory_belts_clips,accessory_caps_hats,accessory_sunglasses,upcycle_interest,bundle_preference,occasion_festivals,occasion_everyday_casual,occasion_college_work,occasion_weddings_events,occasion_travel,occasion_gifting,prior_thrift_experience,top_concern,discovery_channel,purchase_motivator,digital_trust_score,size_confidence,ugc_propensity,return_policy_sensitivity,subscription_intent,gifting_behaviour,purchase_intent
1,Conscious Spender,23-27,Female,Tier 3 / Small town,Working professional,25k-50k,Avoid fast fashion actively,Minimal / Clean girl,None,Social media trends,2,Multiple times a month,500-1000,Above 3000,500-800,Unsure,0,1,0,1,0,0,0,0,1.0,1,1.0,0,0,0,0,1,0,0,0,0.0,Interested if priced right,Prefer complete looks,1,1,1,0,1.0,0,Yes regularly,No major concerns,Pop-up events,Great curation,COD/Easy return,Somewhat confident,Yes regularly,Makes me hesitate,Maybe after first box,Yes frequently,Interested
2,Skeptic,28-34,Male,Tier 2,Student,25k-50k,Dress for comfort/practicality,Cottagecore / Boho,Y2K / Retro,Celebrity/Influencer,3,Once every 2-3 months,500-1000,700-1500,800-1200,Unsure,1,0,0,0,1,0,0,0,1.0,1,1.0,0,0,1,1,0,0,1,0,0.0,Curious but unsure,Prefer to mix myself,1,0,1,0,0.0,0,No and unlikely,Quality/Wear and tear,WhatsApp drops,Social proof,Follower count/Brand credibility,Unsure - it concerns me,No,Comfortable with it,Prefer one-off,Never,Interested
3,Fence-Sitter,18-22,Female,Metro,Homemaker,25k-50k,Fashion as self-expression,Minimal / Clean girl,None,Social media trends,4,Few times a year,1000-2500,1500-3000,500-800,No,0,0,1,0,1,0,1,0,1.0,0,0.0,1,0,1,0,0,0,0,0,0.0,Not interested,Sometimes if it appeals,1,1,0,1,1.0,0,No and unlikely,Hygiene/Cleanliness,Instagram/Reels,Great curation,Clear size guide and photos,Unsure - it concerns me,No,Makes me hesitate,Prefer one-off,Yes occasionally,Not Interested
4,Bargain Hunter,28-34,Male,Metro,Working professional,Below 10k,Dress for comfort/practicality,Y2K / Retro,Cottagecore / Boho,Peer recommendations,2,Few times a year,500-1000,300-700,800-1200,Definitely yes,1,1,1,1,0,0,0,0,0.0,0,1.0,0,0,0,1,0,1,0,0,1.0,Not interested,Prefer complete looks,1,1,0,0,1.0,0,Yes a few times,Social stigma,Website/Online store,Easy returns,Reviews and tagged photos,Not confident at all,Engage but rarely post,Makes me hesitate,No interest,Yes occasionally,Maybe
5,Aesthetic Chaser,28-34,Female,Tier 2,Student,Below 10k,Fashion as self-expression,Y2K / Retro,Dark academia,Social media trends,3,Once a month,1000-2500,1500-3000,Under 500,Probably not,0,0,0,0,1,1,1,0,1.0,0,0.0,0,1,1,0,0,1,1,0,0.0,Curious but unsure,Prefer to mix myself,0,1,1,0,1.0,0,Yes a few times,No major concerns,Instagram/Reels,Unique pieces,Clear size guide and photos,Somewhat confident,Occasionally,Makes me hesitate,Maybe after first box,Yes frequently,Maybe
6,Aesthetic Chaser,23-27,Non-binary/Gender fluid,Metro,Working professional,10k-25k,Follow trends to fit in,Y2K / Retro,Sporty / Athleisure,Social media trends,3,Multiple times a month,500-1000,700-1500,Would not buy,Likely yes,1,1,0,1,1,0,1,1,1.0,1,1.0,1,0,0,0,1,0,1,1,0.0,Very interested,Sometimes if it appeals,0,0,1,0,0.0,1,Yes a few times,Size availability,Instagram/Reels,Low prices,COD/Easy return,Unsure - it concerns me,Occasionally,Makes me hesitate,Prefer one-off,Never,Maybe
7,Aesthetic Chaser,23-27,Female,Metro,Student,10k-25k,Fashion as self-expression,Streetwear,None,Social media trends,3,Once a month,1000-2500,300-700,800-1200,Unsure,1,1,0,0,0,0,1,0,1.0,0,0.0,0,0,0,1,0,1,0,1,1.0,Interested if priced right,Prefer complete looks,0,1,1,1,0.0,0,No but open,Limited style options,Pop-up events,Unique pieces,Clear size guide and photos,Somewhat confident,Yes regularly,Makes me hesitate,Prefer one-off,Yes occasionally,Interested
8,Occasional Gifter,35-44,Male,Metro,Working professional,25k-50k,Follow trends to fit in,Sporty / Athleisure,None,Peer recommendations,2,Once a month,1000-2500,300-700,1200-1800,Likely yes,1,1,0,0,1,0,1,0,0.0,0,0.0,1,0,0,0,1,0,1,1,0.0,Interested if priced right,Prefer complete looks,1,1,1,1,0.0,1,Yes a few times,No major concerns,Instagram/Reels,Influencer wearing it,Clear size guide and photos,Not confident at all,Engage but rarely post,Comfortable with it,No interest,Yes frequently,Interested
9,Bargain Hunter,28-34,Female,Tier 2,Student,10k-25k,Follow trends to fit in,Minimal / Clean girl,None,Sustainability,4,Once a month,500-1000,300-700,500-800,Definitely yes,0,1,0,0,1,0,1,0,1.0,0,0.0,0,0,0,1,0,1,0,1,0.0,Curious but unsure,Prefer complete looks,0,0,0,0,0.0,1,No but open,Hygiene/Cleanliness,Website/Online store,Low prices,COD/Easy return,Not confident at all,Occasionally,Makes me hesitate,No interest,Rarely,Maybe
10,Fence-Sitter,23-27,Female,Metro,Working professional,10k-25k,Dress for comfort/practicality,Minimal / Clean girl,None,Peer recommendations,4,Once every 2-3 months,2500-5000,700-1500,800-1200,Probably not,1,1,0,1,0,0,1,0,1.0,0,0.0,0,1,0,0,0,0,1,0,1.0,Not interested,Sometimes if it appeals,1,0,1,0,0.0,0,No but open,Hygiene/Cleanliness,Pop-up events,Easy returns,COD/Easy return,Somewhat confident,No,Comfortable with it,Prefer one-off,Rarely,Interested
